gap,approach,reward,near_tp,n_sigs,net_r,wr,pf,net_eurusd,net_usdjpy,net_usdcad,net_xauusd
125,50,100,True,99,-6.23,50.7,0.971,6.09,-16.29,-2.22,6.2
125,50,100,False,94,-22.71,51.1,0.88,0.93,-9.9,-12.22,-1.53
125,50,125,True,99,-6.23,50.7,0.971,6.09,-16.29,-2.22,6.2
125,50,125,False,94,-22.71,51.1,0.88,0.93,-9.9,-12.22,-1.53
125,50,150,True,99,-6.23,50.7,0.971,6.09,-16.29,-2.22,6.2
125,50,150,False,94,-22.71,51.1,0.88,0.93,-9.9,-12.22,-1.53
125,50,175,True,99,-6.23,50.7,0.971,6.09,-16.29,-2.22,6.2
125,50,175,False,94,-22.71,51.1,0.88,0.93,-9.9,-12.22,-1.53
125,50,200,True,99,-6.23,50.7,0.971,6.09,-16.29,-2.22,6.2
125,50,200,False,94,-22.71,51.1,0.88,0.93,-9.9,-12.22,-1.53
125,75,50,True,98,-6.21,50.3,0.969,2.36,-7.23,-1.54,0.2
125,75,50,False,93,-22.68,51.1,0.877,-0.92,-5.41,-11.71,-4.64
125,75,75,True,98,-6.21,50.3,0.969,2.36,-7.23,-1.54,0.2
125,75,75,False,93,-22.68,51.1,0.877,-0.92,-5.41,-11.71,-4.64
125,75,100,True,98,-6.21,50.3,0.969,2.36,-7.23,-1.54,0.2
125,75,100,False,93,-22.68,51.1,0.877,-0.92,-5.41,-11.71,-4.64
125,75,125,True,98,-6.21,50.3,0.969,2.36,-7.23,-1.54,0.2
125,75,125,False,93,-22.68,51.1,0.877,-0.92,-5.41,-11.71,-4.64
125,75,150,True,98,-6.21,50.3,0.969,2.36,-7.23,-1.54,0.2
125,75,150,False,93,-22.68,51.1,0.877,-0.92,-5.41,-11.71,-4.64
125,75,175,True,98,-6.21,50.3,0.969,2.36,-7.23,-1.54,0.2
125,75,175,False,93,-22.68,51.1,0.877,-0.92,-5.41,-11.71,-4.64
